n,m,PUB:P,PUB:EV,PUB:MS,RET:P,RET:EV,RET:MS,Total
3,3,7.695,4.945,4.938,11.584,5.275,4.886,39.32820276046793
3,3,10.37,4.793,5.503,10.743,4.851,4.713,41.00296708444755
3,3,7.094,4.821,4.783,10.768,4.797,4.76,37.03053295612335
3,3,7.178,4.841,5.75,10.937,5.158,4.763,38.62719680182636
3,3,7.241,5.119,4.817,11.405,4.908,4.954,38.453188724815845
3,3,7.324,4.874,4.86,11.135,4.873,5.05,38.126309091846146
3,3,7.477,5.165,5.9,11.266,4.912,4.797,39.52551633119583
3,3,7.501,4.901,4.781,11.331,4.894,4.792,38.20853975291054
3,3,7.586,4.891,4.797,11.625,4.922,4.964,38.79513203476866
3,3,9.975,4.847,4.864,10.717,4.836,4.733,40.00812629237771
3,3,7.095,4.814,4.742,10.774,4.836,4.812,37.07982529886067
3,3,7.135,4.812,4.813,10.895,4.83,4.739,37.24124236032367
3,3,7.262,4.831,4.799,10.962,4.821,4.771,37.45470537493626
3,3,7.418,4.865,4.82,11.148,4.862,4.743,37.860001126925155
3,3,7.453,4.859,4.774,11.312,4.853,5.229,38.48918007376293
3,3,7.565,4.902,4.793,11.337,4.881,4.794,38.27821005446215
3,3,7.675,4.895,4.801,11.394,4.94,4.775,38.46045870644351
3,3,13.995,8.434,8.304,17.996,8.331,8.227,65.33079749594131
3,3,7.477,4.808,4.851,11.529,4.805,4.771,38.247812539339066
3,3,7.208,4.833,4.82,10.855,4.851,4.756,37.32480333807568
3,3,7.234,4.896,4.889,11.238,4.903,4.83,37.99745005865891
3,3,7.505,5.024,4.881,11.461,4.974,5.083,38.938825406755015
3,3,7.618,4.943,4.873,11.377,4.923,4.851,38.592474069446325
3,3,7.547,4.943,4.891,12.515,4.927,4.832,39.66312125946085
3,3,8.71,4.935,5.084,11.459,4.876,5.389,40.44106796694298
3,3,9.15,4.877,4.863,10.73,4.802,4.733,39.19310215860605
3,3,7.155,4.819,4.777,10.855,4.786,4.777,37.17979144615431
3,3,7.165,4.831,4.835,10.943,4.856,4.771,37.40618432251115
3,3,7.334,4.845,4.827,11.047,4.85,4.802,37.69923886284232
3,3,7.33,4.848,4.808,11.299,4.893,4.788,37.97509055584669
3,3,7.486,4.889,4.783,14.331,4.91,7.453,43.86887582950294
3,3,12.201,8.56,7.195,11.662,4.945,4.798,49.37674563067655
3,3,7.818,4.962,4.871,11.695,4.979,4.814,39.149423983568944
3,3,8.958,4.84,4.843,10.916,4.829,5.029,39.454017144938305
3,3,7.026,5.065,4.87,10.751,4.831,4.779,37.32909200092156
3,3,7.226,4.794,4.83,10.869,4.849,4.789,37.361521196241185
3,3,7.466,4.869,4.791,11.019,4.831,4.746,37.727031003062926
3,3,7.313,4.85,4.751,11.367,4.86,4.763,37.91166779895624
3,3,7.394,4.86,4.786,11.712,4.977,5.259,38.99591936108966
3,3,7.602,4.917,4.846,11.315,4.956,4.779,38.42921423104902
3,3,7.581,5.222,4.806,11.791,4.933,4.782,39.121678487087294
3,3,9.211,4.84,4.844,10.78,4.8,4.75,39.265880205978945
3,3,7.083,4.806,4.801,10.921,8.135,4.797,40.553511353209615
3,3,7.169,4.8,4.824,10.9,4.831,4.759,37.2872860947003
3,3,7.188,4.816,4.817,11.177,4.836,4.757,37.594452112292245
3,3,7.469,4.815,4.8,11.203,4.85,4.766,37.90600295178592
3,3,7.384,4.884,4.8,11.722,4.86,4.78,38.43528940342367
3,3,7.545,4.865,4.847,11.278,4.902,4.748,38.18819462321699
3,3,7.625,4.888,4.838,11.462,4.914,5.262,38.98906156731149
3,3,8.992,4.867,4.853,10.744,4.855,4.739,39.09061383455992
3,3,7.019,4.804,4.814,10.918,4.827,4.763,37.15088715155919
3,3,7.191,5.348,4.892,10.953,4.815,4.754,37.95626464610298
3,3,7.369,4.858,4.81,11.064,4.859,4.803,37.76694927364588
3,3,7.29,4.871,4.818,11.798,4.856,4.831,38.470065842072174
3,3,7.427,4.893,4.838,11.265,4.909,4.833,38.173885395129524
3,3,7.658,4.874,4.823,11.355,4.895,4.755,38.368459325283766
3,3,7.697,4.946,4.926,11.451,4.881,4.809,38.716780953109264
3,3,11.695,8.382,4.833,10.789,4.833,4.78,45.35305259438852
3,3,7.058,4.829,4.846,10.836,4.83,6.052,38.46768685616553
3,3,7.176,5.987,4.811,10.9,4.835,4.775,38.49026630632579
3,3,7.256,4.814,4.834,11.065,4.84,4.756,37.574230770890914
3,3,7.326,4.83,4.925,11.282,4.837,4.821,38.03212738906343
3,3,7.606,4.891,5.181,11.579,4.889,4.76,38.901353254914284
3,3,7.632,4.913,4.821,11.372,4.919,4.757,38.421532372012734
3,3,7.598,4.927,4.806,11.444,4.945,4.76,38.489153531069555
3,3,8.935,4.903,4.906,10.749,4.891,4.737,39.15932192467153
3,3,7.011,4.818,4.733,10.756,4.79,4.74,36.85336707470318
3,3,7.157,4.772,5.026,10.98,4.895,4.734,37.57016942836344
3,3,7.264,4.808,4.781,11.372,4.857,4.793,37.88039709130923
3,3,7.323,4.885,4.797,11.868,4.886,4.913,38.67741262850662
3,3,7.755,4.982,4.83,12.999,4.874,5.403,40.85259806985657
3,3,7.572,4.889,4.819,11.355,4.885,4.773,38.29232859425247
3,3,7.623,4.906,4.85,11.494,4.901,4.751,38.529389460260674
3,3,14.196,8.452,8.641,18.224,8.369,8.372,66.31197687238455
3,3,11.978,8.465,8.403,12.761,6.005,5.487,53.11006447300315
3,3,8.635,6.097,5.532,13.432,6.1,5.665,45.47699874577423
3,3,8.522,5.588,4.865,11.145,4.846,4.81,39.7880629170686
3,3,7.831,4.854,5.024,11.252,4.896,4.819,38.671986665576696
3,3,7.403,4.867,4.813,11.315,4.866,4.793,38.070208237816885
3,3,7.568,4.855,4.868,11.387,4.896,4.776,38.38940616697073
3,3,7.644,4.895,4.786,11.428,4.934,4.805,38.477185027052954
3,3,9.869,5.339,5.925,12.396,5.697,5.491,44.75805039207141
3,3,8.783,6.105,5.348,12.567,5.964,5.333,44.137339340522885
3,3,10.809,6.535,8.223,18.162,8.413,8.267,60.416885651648045
3,3,12.372,8.491,8.281,18.555,8.425,8.303,64.44876943714917
3,3,12.596,8.522,8.403,18.796,8.498,8.293,65.11784251779318
3,3,13.016,8.486,6.29,11.335,4.915,4.779,48.82592669067284
3,3,7.503,4.872,4.832,11.308,4.929,4.811,38.262394877771534
3,3,7.597,4.919,5.078,12.52,4.906,4.771,39.794967199365296
3,3,8.695,5.002,5.261,10.816,5.241,4.843,39.89774384535849
3,3,7.429,4.815,4.863,11.003,4.908,4.826,37.839850798870124
3,3,7.382,4.855,4.965,10.934,4.866,4.778,37.76867198757827
3,3,7.415,4.896,4.871,11.211,4.88,4.759,38.04358746856451
3,3,7.361,4.826,4.835,11.127,4.874,4.828,37.866990780457854
3,3,7.445,4.923,4.816,11.641,4.909,5.254,38.995788820708796
3,3,7.539,5.366,5.091,11.312,4.877,5.044,39.56275580761333
3,3,7.632,4.897,4.881,12.672,5.968,5.279,41.5186252600203
3,3,13.542,8.371,8.247,12.923,5.017,4.762,52.903118620937065
3,3,7.334,4.838,4.836,10.832,4.839,4.779,37.46015974320471
3,3,7.218,4.812,4.818,10.932,4.822,4.775,37.36590974343319
3,3,7.284,4.911,4.811,11.048,4.844,4.77,37.66864871916671
3,3,7.354,4.884,4.8,11.261,4.872,4.773,37.95374448721608
3,3,7.55,4.884,4.972,12.365,4.872,4.778,39.429663913324475
3,3,7.539,4.873,4.833,11.396,4.919,4.793,38.36317647558947
3,3,7.649,4.867,4.787,11.397,4.913,4.777,38.39811830160518
3,3,8.865,4.883,4.904,10.779,4.826,4.795,39.082956655571856
