protocol,latency,hops,oob_interaction,correct
atis,338.958,3,2,1
atis,334.199,4,2,1
atis,244.129,3,2,1
atis,578.448,4,2,1
atis,393.741,5,2,1
atis,671.981,3,2,1
atis,445.635,3,2,1
atis,533.176,5,2,1
atis,503.002,3,2,1
atis,397.955,4,2,1
atis,307.31,4,2,1
atis,474.93,3,2,1
atis,434.653,4,2,1
atis,212.204,3,2,1
atis,577.631,3,2,1
atis,1012.964,3,2,1
atis,316.665,5,2,1
atis,463.751,2,2,1
atis,685.439,3,2,1
atis,868.678,4,2,1
atis,391.285,3,2,1
atis,213.972,3,2,1
atis,300.493,4,2,1
atis,546.579,6,2,1
atis,322.581,5,2,1
atis,344.892,2,2,1
atis,527.381,4,2,1
atis,997.584,5,2,1
atis,342.132,6,2,1
atis,294.587,4,2,1
atis,374.794,4,2,1
atis,1078.131,5,2,1
atis,383.646,3,2,1
atis,529.159,3,2,1
atis,376.689,3,2,1
atis,615.322,4,2,1
atis,514.412,4,2,1
atis,276.327,3,2,1
atis,340.804,5,2,1
atis,892.474,4,2,1
atis,422.697,5,2,1
atis,385.846,6,2,1
atis,251.848,3,2,1
atis,299.902,3,2,1
atis,330.681,2,2,1
atis,413.765,3,2,1
atis,722.983,3,2,1
atis,748.728,3,2,1
atis,568.491,3,2,1
atis,612.8,3,2,1
atis,1008.986,4,2,1
atis,320.951,4,2,1
atis,278.176,3,2,1
atis,417.486,4,2,1
atis,543.516,4,2,1
atis,645.041,4,2,1
atis,296.233,4,2,1
atis,402.163,4,2,1
atis,468.308,3,2,1
atis,758.656,4,2,1
atis,538.538,5,2,1
atis,289.548,5,2,1
atis,313.219,6,2,1
atis,845.565,5,2,1
atis,213.317,4,2,1
atis,353.327,3,2,1
atis,511.194,4,2,1
atis,1006.802,5,2,1
atis,372.143,3,2,1
atis,234.692,5,2,1
atis,589.037,4,2,1
atis,359.204,3,2,1
atis,316.997,4,2,1
atis,344.996,4,2,1
atis,202.439,3,2,1
atis,541.405,3,2,1
atis,269.71,4,2,1
atis,338.507,4,2,1
atis,468.844,3,2,1
atis,1044.996,5,2,1
atis,234.632,4,2,1
atis,256.0,5,2,1
atis,149.799,4,2,1
atis,242.737,4,2,1
atis,485.935,3,2,1
atis,345.21,4,2,1
atis,386.543,2,2,1
atis,788.174,4,2,1
atis,450.71,4,2,1
atis,522.313,3,2,1
atis,774.027,4,2,1
atis,217.074,3,2,1
atis,421.177,4,2,1
atis,146.265,5,2,1
atis,280.623,4,2,1
atis,233.121,4,2,1
atis,530.803,6,2,1
atis,329.887,5,2,1
atis,478.379,5,2,1
atis,714.248,6,2,1
atis,236.857,4,2,1
atis,494.055,4,2,1
atis,380.26,3,2,1
atis,905.117,5,2,1
atis,450.131,4,2,1
atis,299.028,2,2,1
atis,434.166,4,2,1
atis,1123.049,5,2,1
atis,415.077,4,2,1
atis,281.982,3,2,1
atis,282.053,5,2,1
atis,1077.872,3,2,1
atis,359.206,4,2,1
atis,358.95,3,2,1
atis,280.885,3,2,1
atis,826.18,5,2,1
atis,257.102,3,2,1
atis,271.703,3,2,1
atis,484.039,3,2,1
atis,679.671,4,2,1
atis,190.247,5,2,1
atis,350.004,5,2,1
atis,403.223,4,2,1
atis,525.452,5,2,1
atis,429.33,5,2,1
atis,464.093,3,2,1
atis,819.593,4,2,1
atis,312.451,4,2,1
atis,191.948,4,2,1
atis,204.138,3,2,1
atis,342.318,4,2,1
atis,441.478,3,2,1
atis,229.294,4,2,1
atis,216.416,5,2,1
atis,459.531,4,2,1
atis,837.381,4,2,1
atis,184.801,3,2,1
atis,314.628,4,2,1
atis,336.394,5,2,1
atis,556.446,6,2,1
atis,176.509,4,2,1
atis,236.509,4,2,1
atis,312.468,4,2,1
atis,350.081,4,2,1
atis,283.37,3,2,1
atis,212.034,3,2,1
atis,301.542,4,2,1
atis,407.652,3,2,1
atis,256.881,4,2,1
atis,334.904,6,2,1
atis,258.376,3,2,1
atis,361.844,4,2,1
atis,342.564,3,2,1
atis,337.281,3,2,1
atis,473.737,3,2,1
atis,482.074,3,2,1
atis,378.087,3,2,1
atis,337.046,4,2,1
atis,328.511,5,2,1
atis,847.203,2,2,1
atis,365.005,2,2,1
atis,316.268,5,2,1
atis,598.476,4,2,1
atis,763.292,3,2,1
atis,303.873,4,2,1
atis,364.582,4,2,1
atis,513.882,6,2,1
atis,751.56,4,2,1
atis,390.124,3,2,1
atis,245.438,4,2,1
atis,417.94,3,2,1
atis,1039.973,4,2,1
atis,277.491,5,2,1
atis,253.194,4,2,1
atis,359.105,4,2,1
atis,335.52,3,2,1
atis,240.913,5,2,1
atis,361.206,4,2,1
atis,391.29,5,2,1
atis,606.339,4,2,1
atis,335.549,4,2,1
atis,496.25,4,2,1
atis,754.603,4,2,1
atis,354.82,3,2,1
atis,374.455,5,2,1
atis,362.015,3,2,1
atis,613.848,4,2,1
atis,608.849,3,2,1
atis,354.167,4,2,1
atis,495.638,3,2,1
atis,1060.675,4,2,1
atis,628.901,3,2,1
atis,319.929,3,2,1
atis,229.143,4,2,1
atis,369.506,4,2,1
atis,929.369,4,2,1
atis,149.021,3,2,1
atis,421.412,3,2,1
atis,403.751,4,2,1
atis,218.289,3,2,1
atis,380.413,3,2,1
atis,549.822,3,2,1
atis,933.301,5,2,1
atis,481.84,5,2,1
atis,284.074,5,2,1
atis,334.071,4,2,1
atis,427.528,3,2,1
atis,696.15,2,2,1
atis,387.247,4,2,1
atis,282.972,4,2,1
atis,630.314,4,2,1
atis,758.242,4,2,1
atis,376.008,3,2,1
atis,433.672,5,2,1
atis,644.353,2,2,1
atis,349.385,2,2,1
atis,234.977,3,2,1
atis,295.239,2,2,1
atis,211.229,2,2,1
atis,492.838,3,2,1
atis,380.745,4,2,1
atis,499.565,3,2,1
atis,925.438,5,2,1
atis,522.495,4,2,1
atis,315.854,3,2,1
atis,349.627,3,2,1
atis,381.586,4,2,1
atis,691.251,3,2,1
atis,325.592,5,2,1
atis,339.808,3,2,1
atis,930.451,5,2,1
atis,593.837,4,2,1
atis,159.175,2,2,1
atis,281.319,5,2,1
atis,387.309,4,2,1
atis,672.232,5,2,1
atis,265.669,4,2,1
atis,507.361,3,2,1
atis,952.345,3,2,1
atis,730.45,3,2,1
atis,310.927,3,2,1
atis,306.856,6,2,1
atis,348.722,4,2,1
atis,827.144,4,2,1
atis,330.339,3,2,1
atis,538.442,4,2,1
atis,601.792,4,2,1
atis,425.087,4,2,1
atis,587.056,4,2,1
atis,1104.354,2,2,1
atis,618.142,4,2,1
atis,451.178,3,2,1
atis,193.691,4,2,1
atis,423.113,4,2,1
atis,2018.107,3,2,1
atis,423.28,3,2,1
atis,218.855,5,2,1
atis,490.349,5,2,1
atis,773.014,4,2,1
atis,1146.36,4,2,1
atis,305.43,5,2,1
atis,457.891,4,2,1
atis,945.18,4,2,1
atis,741.543,5,2,1
atis,638.157,4,2,1
atis,1046.45,5,2,1
atis,645.122,5,2,1
atis,218.073,5,2,1
atis,1094.664,5,2,1
atis,541.973,5,2,1
atis,515.721,4,2,1
atis,271.638,2,2,1
atis,1020.792,3,2,1
atis,698.473,4,2,1
atis,240.066,4,2,1
atis,272.839,3,2,1
atis,718.049,5,2,1
atis,744.995,5,2,1
atis,623.944,4,2,1
atis,315.576,3,2,1
atis,951.167,2,2,1
atis,824.333,4,2,1
atis,276.209,4,2,1
atis,426.478,4,2,1
atis,632.547,5,2,1
atis,514.876,4,2,1
atis,821.309,2,2,1
atis,294.567,5,2,1
atis,1758.617,3,2,1
atis,290.818,5,2,1
atis,417.101,4,2,1
atis,367.838,3,2,1
atis,697.013,3,2,1
atis,448.541,5,2,1
atis,631.68,5,2,1
atis,256.29,4,2,1
atis,793.793,5,2,1
atis,466.562,4,2,1
