protocol,latency,hops,oob_interaction,correct
cpex,1505.697,5,2,1
cpex,751.694,4,2,1
cpex,621.826,3,2,1
cpex,446.504,5,2,1
cpex,2397.262,6,4,1
cpex,608.152,2,2,1
cpex,630.977,5,2,1
cpex,630.783,5,2,1
cpex,1560.623,5,2,1
cpex,816.979,4,2,1
cpex,658.892,5,2,1
cpex,689.029,3,2,1
cpex,1593.656,3,2,1
cpex,781.01,4,2,1
cpex,611.448,4,2,1
cpex,596.176,4,2,1
cpex,1474.898,4,2,1
cpex,588.04,3,2,1
cpex,550.833,4,2,1
cpex,656.037,3,2,1
cpex,801.866,3,2,1
cpex,757.736,5,2,1
cpex,672.727,3,2,1
cpex,581.026,2,2,1
cpex,1033.575,3,2,1
cpex,749.358,4,2,1
cpex,704.215,4,2,1
cpex,377.107,4,2,1
cpex,1740.738,3,2,1
cpex,612.628,5,2,1
cpex,549.686,4,2,1
cpex,626.547,4,2,1
cpex,463.448,3,2,1
cpex,691.12,3,2,1
cpex,716.497,3,2,1
cpex,718.516,5,2,1
cpex,608.979,4,2,1
cpex,660.889,3,2,1
cpex,639.066,4,2,1
cpex,627.746,2,2,1
cpex,646.976,3,2,1
cpex,561.189,3,2,1
cpex,418.866,2,2,1
cpex,628.986,4,2,1
cpex,631.269,4,2,1
cpex,753.672,4,2,1
cpex,1054.88,5,4,1
cpex,650.904,4,2,1
cpex,514.131,3,2,1
cpex,620.702,2,2,1
cpex,511.185,4,2,1
cpex,1389.95,5,4,1
cpex,581.009,3,2,1
cpex,627.03,4,2,1
cpex,660.847,3,2,1
cpex,1281.836,5,4,1
cpex,653.619,2,2,1
cpex,1306.178,4,4,1
cpex,672.122,2,2,1
cpex,830.982,3,2,1
cpex,542.986,4,2,1
cpex,585.398,5,2,1
cpex,633.181,5,2,1
cpex,811.767,5,2,1
cpex,700.99,2,2,1
cpex,1140.386,4,4,1
cpex,639.909,3,2,1
cpex,654.571,5,2,1
cpex,619.699,4,2,1
cpex,478.812,3,2,1
cpex,685.332,2,2,1
cpex,568.57,4,2,1
cpex,1187.347,5,4,1
cpex,410.358,3,2,1
cpex,727.258,4,2,1
cpex,654.911,4,2,1
cpex,637.45,4,2,1
cpex,577.673,3,2,1
cpex,649.788,4,2,1
cpex,775.069,3,2,1
cpex,556.311,4,2,1
cpex,493.906,4,2,1
cpex,518.504,3,2,1
cpex,706.502,5,2,1
cpex,684.528,5,2,1
cpex,713.947,3,2,1
cpex,1509.49,6,4,1
cpex,658.709,5,2,1
cpex,588.14,2,2,1
cpex,625.299,3,2,1
cpex,573.866,5,2,1
cpex,615.503,4,2,1
cpex,642.014,4,2,1
cpex,519.281,5,2,1
cpex,807.681,4,2,1
cpex,575.511,4,2,1
cpex,481.512,3,2,1
cpex,1347.58,5,4,1
cpex,601.591,3,2,1
cpex,610.845,4,2,1
cpex,444.535,5,2,1
cpex,600.167,6,2,1
cpex,666.425,6,2,1
cpex,576.136,6,2,1
cpex,478.696,3,2,1
cpex,876.003,5,4,1
cpex,710.096,4,2,1
cpex,623.784,6,2,1
cpex,640.695,5,2,1
cpex,584.833,4,2,1
cpex,453.334,3,2,1
cpex,778.681,4,2,1
cpex,951.686,6,4,1
cpex,482.18,4,2,1
cpex,524.611,5,2,1
cpex,695.966,5,2,1
cpex,658.996,5,2,1
cpex,624.17,4,2,1
cpex,733.331,5,2,1
cpex,712.434,3,2,1
cpex,338.412,4,2,1
cpex,288.789,4,2,1
cpex,487.711,2,2,1
cpex,625.315,5,2,1
cpex,677.032,4,2,1
cpex,792.811,3,2,1
cpex,711.018,3,2,1
cpex,681.497,5,2,1
cpex,686.258,3,2,1
cpex,578.56,4,2,1
cpex,589.485,3,2,1
cpex,700.81,4,2,1
cpex,658.85,2,2,1
cpex,660.175,4,2,1
cpex,587.728,3,2,1
cpex,591.435,5,2,1
cpex,677.141,4,2,1
cpex,481.199,4,2,1
cpex,688.577,3,2,1
cpex,705.439,3,2,1
cpex,672.701,3,2,1
cpex,655.961,5,2,1
cpex,566.144,4,2,1
cpex,777.369,3,2,1
cpex,596.849,4,2,1
cpex,789.005,5,2,1
cpex,548.047,4,2,1
cpex,744.919,3,2,1
cpex,664.058,3,2,1
cpex,531.986,3,2,1
cpex,692.788,4,2,1
cpex,620.737,4,2,1
cpex,668.192,5,2,1
cpex,759.338,3,2,1
cpex,742.156,4,2,1
cpex,643.599,4,2,1
cpex,611.355,2,2,1
cpex,574.197,2,2,1
cpex,690.849,3,2,1
cpex,641.855,6,2,1
cpex,544.052,4,2,1
cpex,628.239,2,2,1
cpex,701.477,4,2,1
cpex,739.036,4,2,1
cpex,709.766,5,2,1
cpex,675.466,3,2,1
cpex,756.808,5,2,1
cpex,584.561,5,2,1
cpex,547.442,3,2,1
cpex,743.822,5,2,1
cpex,755.432,5,2,1
cpex,604.917,6,2,1
cpex,499.656,5,2,1
cpex,678.595,2,2,1
cpex,711.603,2,2,1
cpex,638.449,4,2,1
cpex,612.033,3,2,1
cpex,700.959,5,2,1
cpex,614.582,4,2,1
cpex,503.355,4,2,1
cpex,621.498,5,2,1
cpex,758.657,3,2,1
cpex,778.492,3,2,1
cpex,729.438,3,2,1
cpex,661.768,4,2,1
cpex,280.657,5,2,1
cpex,653.915,6,2,1
cpex,601.729,3,2,1
cpex,638.812,3,2,1
cpex,605.692,3,2,1
cpex,716.563,4,2,1
cpex,636.937,3,2,1
cpex,649.227,3,2,1
cpex,579.263,5,2,1
cpex,623.322,4,2,1
cpex,646.682,4,2,1
cpex,496.303,5,2,1
cpex,618.746,4,2,1
cpex,731.022,4,2,1
cpex,662.929,4,2,1
cpex,615.434,4,2,1
cpex,564.286,3,2,1
cpex,712.427,3,2,1
cpex,661.677,4,2,1
cpex,306.237,5,2,1
cpex,606.167,4,2,1
cpex,609.874,4,2,1
cpex,669.897,4,2,1
cpex,489.521,2,2,1
cpex,673.706,3,2,1
cpex,751.276,2,2,1
cpex,749.934,5,2,1
cpex,504.005,3,2,1
cpex,1198.08,6,4,1
cpex,560.886,4,2,1
cpex,641.933,6,2,1
