protocol,latency,hops,oob_interaction,correct
jodi,569.681,2,2,1
jodi,434.771,5,2,1
jodi,623.93,2,2,1
jodi,567.352,4,2,1
jodi,792.094,3,2,1
jodi,422.881,5,2,1
jodi,379.758,2,2,1
jodi,296.938,3,2,1
jodi,436.162,3,2,1
jodi,436.769,4,2,1
jodi,239.504,6,2,1
jodi,408.501,6,2,1
jodi,381.563,6,2,1
jodi,654.42,3,2,1
jodi,191.337,3,2,1
jodi,616.161,7,2,1
jodi,521.749,6,2,1
jodi,525.224,3,2,1
jodi,403.345,3,2,1
jodi,547.245,4,2,1
jodi,532.965,3,2,1
jodi,456.63,3,2,1
jodi,408.182,3,2,1
jodi,396.647,3,2,1
jodi,505.553,3,2,1
jodi,609.539,6,2,1
jodi,455.503,3,2,1
jodi,678.363,3,2,1
jodi,649.542,3,2,1
jodi,466.393,7,2,1
jodi,417.724,3,2,1
jodi,421.788,3,2,1
jodi,616.858,3,2,1
jodi,448.894,2,2,1
jodi,788.465,5,2,1
jodi,485.714,3,2,1
jodi,551.414,3,2,1
jodi,388.33,3,2,1
jodi,442.451,4,2,1
jodi,293.973,5,2,1
jodi,527.951,4,2,1
jodi,663.908,3,2,1
jodi,421.556,5,2,1
jodi,769.387,5,2,1
jodi,444.548,3,2,1
jodi,381.563,3,2,1
jodi,485.332,4,2,1
jodi,380.107,3,2,1
jodi,570.98,2,2,1
jodi,561.102,4,2,1
jodi,398.167,4,2,1
jodi,496.786,3,2,1
jodi,368.809,4,2,1
jodi,279.631,5,2,1
jodi,427.976,3,2,1
jodi,517.676,3,2,1
jodi,389.258,4,2,1
jodi,368.01,4,2,1
jodi,388.252,6,2,1
jodi,563.811,3,2,1
jodi,377.293,3,2,1
jodi,303.085,7,2,1
jodi,522.57,2,2,1
jodi,375.158,3,2,1
jodi,791.317,3,2,1
jodi,501.486,2,2,1
jodi,918.744,3,2,1
jodi,184.306,4,2,1
jodi,284.408,4,2,1
jodi,485.691,6,2,1
jodi,279.754,4,2,1
jodi,422.455,4,2,1
jodi,585.362,5,2,1
jodi,376.287,3,2,1
jodi,403.321,3,2,1
jodi,419.938,3,2,1
jodi,614.419,5,2,1
jodi,569.257,4,2,1
jodi,293.975,3,2,1
jodi,396.426,3,2,1
jodi,522.946,3,2,1
jodi,467.892,4,2,1
jodi,459.579,4,2,1
jodi,287.538,4,2,1
jodi,466.886,5,2,1
jodi,509.694,4,2,1
jodi,539.168,3,2,1
jodi,458.821,3,2,1
jodi,546.072,4,2,1
jodi,416.964,3,2,1
jodi,346.233,5,2,1
jodi,713.869,4,2,1
jodi,293.975,5,2,1
jodi,689.556,4,2,1
jodi,337.656,3,2,1
jodi,292.386,3,2,1
jodi,618.073,2,2,1
jodi,498.586,4,2,1
