protocol,latency,hops,oob_interaction,correct
oobss,463.524,3,2,1
oobss,474.911,3,2,1
oobss,429.107,5,2,1
oobss,404.706,2,2,1
oobss,289.91,5,2,1
oobss,530.919,4,2,1
oobss,409.777,3,2,1
oobss,460.041,3,2,1
oobss,289.044,3,2,1
oobss,701.533,5,2,1
oobss,395.828,4,2,1
oobss,409.081,3,2,1
oobss,354.79,3,2,1
oobss,652.023,5,2,1
oobss,420.102,4,2,1
oobss,235.438,3,2,1
oobss,327.168,2,2,1
oobss,503.667,3,2,1
oobss,349.053,4,2,1
oobss,494.979,3,2,1
oobss,293.158,4,2,1
oobss,661.766,5,2,1
oobss,437.4,3,2,1
oobss,352.513,3,2,1
oobss,546.064,5,2,1
oobss,622.988,3,2,1
oobss,172.351,4,2,1
oobss,425.173,4,2,1
oobss,260.394,3,2,1
oobss,382.953,4,2,1
oobss,460.514,3,2,1
oobss,464.117,3,2,1
oobss,329.567,3,2,1
oobss,147.323,5,2,1
oobss,180.342,2,2,1
oobss,467.65,3,2,1
oobss,217.249,4,2,1
oobss,335.137,3,2,1
oobss,497.904,3,2,1
oobss,363.359,4,2,1
oobss,271.705,6,2,1
oobss,372.829,5,2,1
oobss,264.443,2,2,1
oobss,443.809,4,2,1
oobss,226.306,5,2,1
oobss,711.704,6,2,1
oobss,199.797,4,2,1
oobss,299.326,4,2,1
oobss,218.833,5,2,1
oobss,151.226,3,2,1
oobss,242.672,3,2,1
oobss,394.819,3,2,1
oobss,193.729,4,2,1
oobss,340.616,4,2,1
oobss,448.941,3,2,1
oobss,415.667,5,2,1
oobss,296.908,4,2,1
oobss,205.184,5,2,1
oobss,207.093,6,2,1
oobss,429.678,3,2,1
oobss,328.056,3,2,1
oobss,222.896,2,2,1
oobss,266.728,3,2,1
oobss,493.866,3,2,1
oobss,157.471,3,2,1
oobss,485.333,3,2,1
oobss,438.088,3,2,1
oobss,255.626,4,2,1
oobss,373.687,4,2,1
oobss,208.652,3,2,1
oobss,197.141,4,2,1
oobss,167.041,4,2,1
oobss,467.67,4,2,1
oobss,444.12,4,2,1
oobss,515.363,4,2,1
oobss,358.06,3,2,1
oobss,302.835,4,2,1
oobss,231.368,5,2,1
oobss,402.805,5,2,1
oobss,405.12,6,2,1
oobss,168.749,5,2,1
oobss,271.191,4,2,1
oobss,285.04,3,2,1
oobss,280.899,4,2,1
oobss,528.478,5,2,1
oobss,321.537,3,2,1
oobss,353.589,5,2,1
oobss,219.586,4,2,1
oobss,362.73,3,2,1
oobss,320.021,4,2,1
oobss,517.338,4,2,1
oobss,336.935,3,2,1
oobss,360.423,3,2,1
oobss,314.888,4,2,1
oobss,289.772,4,2,1
oobss,409.02,3,2,1
oobss,207.204,5,2,1
oobss,465.088,4,2,1
oobss,397.21,5,2,1
oobss,442.748,4,2,1
oobss,270.142,4,2,1
oobss,260.887,3,2,1
oobss,401.851,4,2,1
oobss,467.135,2,2,1
oobss,288.948,4,2,1
oobss,317.652,4,2,1
oobss,314.189,3,2,1
oobss,263.702,4,2,1
oobss,275.222,3,2,1
oobss,498.191,4,2,1
oobss,297.563,5,2,1
oobss,382.259,4,2,1
oobss,364.961,4,2,1
oobss,185.073,6,2,1
oobss,349.952,5,2,1
oobss,206.469,5,2,1
oobss,287.59,6,2,1
oobss,490.295,4,2,1
oobss,416.554,4,2,1
oobss,310.289,3,2,1
oobss,216.325,5,2,1
oobss,354.264,4,2,1
oobss,382.963,2,2,1
oobss,305.651,4,2,1
oobss,359.48,5,2,1
oobss,389.909,4,2,1
oobss,376.906,3,2,1
oobss,244.514,5,2,1
oobss,189.615,3,2,1
oobss,459.428,4,2,1
oobss,283.0,3,2,1
oobss,464.861,3,2,1
oobss,534.917,5,2,1
oobss,392.738,3,2,1
oobss,441.743,3,2,1
oobss,226.557,3,2,1
oobss,389.408,4,2,1
oobss,335.527,5,2,1
oobss,311.318,5,2,1
oobss,429.61,4,2,1
oobss,311.625,5,2,1
oobss,305.827,5,2,1
oobss,510.009,3,2,1
oobss,308.73,4,2,1
oobss,253.999,4,2,1
oobss,253.483,4,2,1
oobss,577.359,3,2,1
oobss,271.252,4,2,1
oobss,209.188,3,2,1
oobss,341.464,4,2,1
oobss,481.129,5,2,1
oobss,320.614,4,2,1
oobss,7454.337,4,2,1
oobss,427.139,3,2,1
oobss,466.298,4,2,1
oobss,422.956,5,2,1
oobss,449.961,6,2,1
oobss,496.475,4,2,1
oobss,297.22,4,2,1
oobss,500.513,4,2,1
oobss,473.95,4,2,1
oobss,320.01,3,2,1
oobss,539.651,3,2,1
oobss,321.958,4,2,1
oobss,446.605,3,2,1
oobss,314.8,4,2,1
oobss,230.14,6,2,1
oobss,226.165,3,2,1
oobss,425.881,4,2,1
oobss,418.98,3,2,1
oobss,387.808,3,2,1
oobss,465.057,3,2,1
oobss,276.737,3,2,1
oobss,373.733,3,2,1
oobss,327.474,4,2,1
oobss,363.785,5,2,1
oobss,332.294,2,2,1
oobss,450.284,2,2,1
oobss,237.631,5,2,1
oobss,219.831,4,2,1
oobss,320.026,3,2,1
oobss,350.26,4,2,1
oobss,345.105,4,2,1
oobss,204.277,6,2,1
oobss,348.745,4,2,1
oobss,5395.069,3,2,1
oobss,331.202,4,2,1
oobss,314.724,3,2,1
oobss,325.179,4,2,1
oobss,228.641,5,2,1
oobss,299.308,4,2,1
oobss,246.922,4,2,1
oobss,267.469,3,2,1
oobss,278.682,5,2,1
oobss,334.8,4,2,1
oobss,513.328,5,2,1
oobss,292.096,4,2,1
oobss,729.989,4,2,1
oobss,327.101,4,2,1
oobss,208.681,4,2,1
oobss,385.766,3,2,1
oobss,405.085,5,2,1
oobss,446.613,3,2,1
oobss,360.409,4,2,1
oobss,396.77,3,2,1
oobss,247.96,4,2,1
oobss,363.436,3,2,1
oobss,382.724,4,2,1
oobss,364.599,3,2,1
oobss,215.072,3,2,1
oobss,359.916,4,2,1
oobss,337.716,4,2,1
oobss,168.947,4,2,1
oobss,191.922,3,2,1
oobss,324.186,3,2,1
oobss,281.91,4,2,1
oobss,274.368,3,2,1
oobss,371.297,3,2,1
oobss,443.517,3,2,1
oobss,224.014,5,2,1
oobss,390.098,5,2,1
oobss,408.155,5,2,1
oobss,409.224,4,2,1
oobss,339.045,3,2,1
oobss,426.095,2,2,1
oobss,213.782,4,2,1
oobss,282.739,4,2,1
oobss,143.496,4,2,1
oobss,185.433,4,2,1
oobss,209.451,3,2,1
oobss,241.601,5,2,1
oobss,353.046,2,2,1
oobss,342.978,2,2,1
oobss,398.247,3,2,1
oobss,453.644,2,2,1
oobss,363.278,2,2,1
oobss,274.615,3,2,1
oobss,362.973,4,2,1
oobss,391.162,3,2,1
oobss,245.392,5,2,1
oobss,193.162,4,2,1
oobss,251.611,3,2,1
oobss,287.309,3,2,1
oobss,412.911,4,2,1
oobss,230.835,3,2,1
oobss,364.285,5,2,1
oobss,330.284,3,2,1
oobss,278.017,5,2,1
oobss,218.369,4,2,1
oobss,426.43,2,2,1
oobss,243.435,5,2,1
oobss,434.365,4,2,1
oobss,377.3,5,2,1
oobss,372.943,4,2,1
oobss,311.386,3,2,1
oobss,249.017,3,2,1
oobss,193.896,3,2,1
oobss,441.466,3,2,1
oobss,194.628,6,2,1
oobss,268.782,4,2,1
oobss,292.802,4,2,1
oobss,487.519,3,2,1
oobss,332.485,4,2,1
oobss,232.909,4,2,1
oobss,252.995,4,2,1
oobss,266.088,4,2,1
oobss,410.613,2,2,1
oobss,181.905,4,2,1
oobss,493.953,3,2,1
oobss,454.561,4,2,1
oobss,435.251,4,2,1
oobss,268.301,3,2,1
oobss,380.395,3,2,1
oobss,330.302,5,2,1
oobss,350.087,5,2,1
oobss,244.694,4,2,1
oobss,356.33,4,2,1
oobss,291.451,5,2,1
oobss,336.003,4,2,1
oobss,214.322,4,2,1
oobss,384.422,5,2,1
oobss,278.862,4,2,1
oobss,292.303,5,2,1
oobss,415.147,5,2,1
oobss,259.135,5,2,1
oobss,339.817,5,2,1
oobss,356.026,5,2,1
oobss,299.551,4,2,1
oobss,239.669,2,2,1
oobss,399.047,3,2,1
oobss,229.787,4,2,1
oobss,529.084,4,2,1
oobss,428.022,3,2,1
oobss,299.785,5,2,1
oobss,190.773,5,2,1
oobss,321.939,4,2,1
oobss,360.161,3,2,1
oobss,250.801,2,2,1
oobss,372.445,4,2,1
oobss,305.037,4,2,1
oobss,356.259,4,2,1
oobss,334.293,5,2,1
oobss,269.564,4,2,1
oobss,336.942,2,2,1
oobss,294.468,5,2,1
oobss,315.984,3,2,1
oobss,206.52,5,2,1
oobss,280.31,4,2,1
oobss,232.273,3,2,1
oobss,205.588,3,2,1
oobss,345.019,5,2,1
oobss,252.242,5,2,1
oobss,200.521,4,2,1
oobss,302.504,5,2,1
oobss,461.981,4,2,1
oobss,463.774,3,2,1
oobss,298.144,2,2,1
oobss,296.584,3,2,1
oobss,312.615,3,2,1
oobss,334.588,5,2,1
oobss,275.608,6,2,1
oobss,220.552,4,2,1
oobss,333.311,5,2,1
oobss,445.73,4,2,1
oobss,253.057,5,2,1
oobss,365.837,5,2,1
oobss,251.496,4,2,1
oobss,153.935,6,2,1
oobss,320.996,4,2,1
oobss,203.774,5,2,1
oobss,287.48,4,2,1
oobss,507.546,3,2,1
oobss,287.901,4,2,1
oobss,221.284,5,2,1
oobss,276.226,4,2,1
oobss,368.831,3,2,1
oobss,214.931,3,2,1
oobss,341.903,4,2,1
oobss,454.893,5,2,1
oobss,372.218,4,2,1
oobss,317.703,5,2,1
oobss,197.71,4,2,1
oobss,258.532,4,2,1
oobss,342.817,5,2,1
oobss,295.096,3,2,1
oobss,316.695,5,2,1
oobss,331.025,3,2,1
oobss,293.208,4,2,1
oobss,293.491,3,2,1
oobss,209.572,3,2,1
