n,m,PUB:P,PUB:EV,PUB:MS,RET:P,RET:EV,RET:MS,Total
3,3,11.697,5.285,4.937,15.952,5.095,4.991,47.95975333884901
3,3,19.362,8.15,7.7,24.186,8.124,5.028,72.59078700856966
3,3,11.072,4.96,4.928,15.176,5.02,4.928,46.078212667149884
3,3,10.89,4.986,5.109,15.22,4.991,5.196,46.39606300042942
3,3,11.251,5.018,5.705,15.307,5.053,4.934,47.260272664667966
3,3,11.314,5.058,4.945,15.522,5.031,5.006,46.87705866429799
3,3,11.384,5.017,4.927,15.57,5.041,4.946,46.88831400077712
3,3,11.673,5.092,4.976,15.576,5.06,5.006,47.38554099822068
3,3,11.621,5.08,4.944,16.189,5.137,5.183,48.15845666841294
3,3,13.141,5.064,4.938,14.846,4.913,4.915,47.84342200340082
3,3,11.071,4.933,4.897,26.362,8.865,6.554,62.68087232941373
3,3,11.009,5.012,5.02,15.327,5.042,5.014,46.429903667255225
3,3,12.11,5.0,5.346,18.607,5.118,5.057,51.23498767109898
3,3,11.261,5.026,4.955,15.832,5.065,5.024,47.166492334023744
3,3,11.524,5.026,4.931,15.529,5.058,5.192,47.269278667954495
3,3,11.602,5.113,4.987,15.724,5.135,5.062,47.62554600044193
3,3,11.677,5.129,4.935,16.828,5.114,5.021,48.71124333658372
3,3,13.087,5.044,4.915,14.868,4.948,4.881,47.77185567218112
3,3,11.484,4.976,6.167,15.036,5.044,4.988,47.68813600336822
3,3,11.032,4.995,5.041,15.275,5.004,4.967,46.33464233362853
3,3,11.53,5.041,4.926,15.249,5.07,4.932,46.748304663196905
3,3,11.443,5.017,4.915,15.426,5.038,4.947,46.79432366780626
3,3,11.418,5.052,4.93,15.511,5.04,4.925,46.88725133261566
3,3,11.424,5.078,4.912,15.519,5.06,5.006,47.00571300054435
3,3,11.588,5.07,4.877,15.564,5.156,4.948,47.21233333354272
3,3,15.472,5.114,5.012,14.917,4.948,4.976,50.46501166846914
3,3,11.042,5.022,4.89,15.306,5.003,5.021,46.2747390010918
3,3,11.859,5.123,5.054,15.328,5.006,5.009,47.377877330291085
3,3,12.564,5.106,4.949,15.333,5.026,4.949,47.92296400046325
3,3,11.268,4.987,4.889,15.312,4.998,4.954,46.39579166541807
3,3,11.571,5.066,4.925,15.516,5.022,4.956,47.07042933902509
3,3,11.54,5.053,4.966,15.625,5.091,4.995,47.27266966438037
3,3,12.349,5.087,4.951,15.734,5.154,5.004,48.2784466657904
3,3,13.111,5.032,4.992,14.838,4.938,4.919,47.85808099768474
3,3,13.1,4.967,4.894,15.116,4.948,4.96,47.98916900229718
3,3,11.141,5.076,4.96,15.115,5.023,4.955,46.27276966978874
3,3,11.419,5.237,4.971,15.113,5.05,5.245,47.03463532981307
3,3,11.251,5.031,4.913,15.361,4.99,4.948,46.49824633330961
3,3,11.453,5.03,4.889,15.371,5.036,4.951,46.73156500818247
3,3,11.563,5.02,4.874,15.4,5.042,4.909,46.81238366417043
3,3,11.606,5.05,4.904,15.542,5.127,4.918,47.149888671507746
3,3,19.483,8.09,7.641,20.132,13.685,5.359,74.42550966516137
3,3,18.335,8.489,5.019,15.461,5.019,5.017,57.34104132958843
3,3,12.866,5.021,5.262,15.326,5.047,5.87,49.39450000044114
3,3,11.225,5.025,4.926,15.583,5.029,4.996,46.791635332435064
3,3,11.347,5.027,4.978,15.369,5.042,4.924,46.698457669360025
3,3,11.491,5.102,4.944,15.556,5.05,4.974,47.130966335923105
3,3,11.523,5.101,4.955,15.594,5.102,4.966,47.247195000333406
3,3,14.858,5.104,4.984,15.74,5.119,5.18,50.99196566273652
3,3,19.227,8.147,7.792,18.207,8.617,5.04,67.05745533690788
