Timestamp,Name,CPUPerc,MemUsage,MemPerc,NetIO,BlockIO,PIDs
2025-06-05T21:42:48,als_server_worker,0.00,19.39MiB,0.03,1.81MB,0B,2
2025-06-05T21:42:48,scheduler,0.00,17.81MiB,0.03,798kB,0B,1
2025-06-05T21:42:48,jodi-cache,13.51,18.79MiB,0.03,1.2GB,0B,6
2025-06-05T21:43:00,evaluator,390.26,631.9MiB,1.01,554MB,0B,5
2025-06-05T21:43:00,auditlog,0.56,253.6MiB,0.40,2.71GB,0B,5
2025-06-05T21:43:01,keyrotation,0.00,17.22MiB,0.03,22.8kB,0B,1
2025-06-05T21:43:01,message-store,385.73,672.2MiB,1.07,756MB,0B,5
2025-06-05T21:43:01,als_client_worker,196.98,55.64MiB,0.09,795MB,0B,34
2025-06-05T21:43:01,als_server_worker,179.55,56.04MiB,0.09,1.83MB,0B,34
2025-06-05T21:43:01,scheduler,0.35,17.81MiB,0.03,817kB,0B,1
2025-06-05T21:43:01,jodi-cache,13.65,18.6MiB,0.03,1.23GB,0B,6
2025-06-05T21:43:13,evaluator,397.63,640.7MiB,1.02,567MB,0B,5
2025-06-05T21:43:13,auditlog,17.78,254.8MiB,0.41,2.78GB,0B,5
2025-06-05T21:43:13,keyrotation,0.00,17.22MiB,0.03,23.5kB,0B,1
2025-06-05T21:43:13,message-store,381.17,682.8MiB,1.09,773MB,0B,5
2025-06-05T21:43:13,als_client_worker,68.08,19.41MiB,0.03,815MB,0B,2
2025-06-05T21:43:13,als_server_worker,36.40,19.44MiB,0.03,1.86MB,0B,2
2025-06-05T21:43:13,scheduler,0.00,17.81MiB,0.03,834kB,0B,1
2025-06-05T21:43:13,jodi-cache,13.03,18.57MiB,0.03,1.26GB,0B,6
2025-06-05T21:43:26,evaluator,397.27,650.9MiB,1.04,580MB,0B,5
2025-06-05T21:43:26,auditlog,1.77,255MiB,0.41,2.84GB,0B,5
2025-06-05T21:43:26,keyrotation,0.00,17.22MiB,0.03,23.9kB,0B,1
2025-06-05T21:43:26,message-store,396.87,693.2MiB,1.10,792MB,0B,5
2025-06-05T21:43:26,als_client_worker,2.32,19.4MiB,0.03,833MB,0B,2
2025-06-05T21:43:26,als_server_worker,186.90,19.44MiB,0.03,1.88MB,0B,2
2025-06-05T21:43:26,scheduler,0.00,17.81MiB,0.03,850kB,0B,1
2025-06-05T21:43:26,jodi-cache,12.61,18.59MiB,0.03,1.29GB,0B,6
2025-06-05T21:43:39,evaluator,390.89,660.9MiB,1.05,593MB,0B,5
2025-06-05T21:43:39,auditlog,0.53,248.9MiB,0.40,2.91GB,0B,5
2025-06-05T21:43:39,keyrotation,0.00,17.22MiB,0.03,24.2kB,0B,1
2025-06-05T21:43:39,message-store,389.80,705MiB,1.12,810MB,0B,5
2025-06-05T21:43:39,als_client_worker,232.54,68.43MiB,0.11,854MB,0B,34
2025-06-05T21:43:39,als_server_worker,177.80,19.44MiB,0.03,1.91MB,0B,2
2025-06-05T21:43:39,scheduler,0.36,17.81MiB,0.03,870kB,0B,1
2025-06-05T21:43:39,jodi-cache,13.98,18.8MiB,0.03,1.31GB,0B,6
2025-06-05T21:43:52,evaluator,10.70,667MiB,1.06,603MB,0B,5
2025-06-05T21:43:52,auditlog,13.34,247.7MiB,0.39,2.97GB,0B,5
2025-06-05T21:43:52,keyrotation,0.08,17.22MiB,0.03,25kB,0B,1
2025-06-05T21:43:52,message-store,393.97,713.3MiB,1.14,827MB,0B,5
2025-06-05T21:43:52,als_client_worker,34.04,19.42MiB,0.03,870MB,0B,2
2025-06-05T21:43:52,als_server_worker,8.33,19.39MiB,0.03,1.93MB,0B,2
2025-06-05T21:43:52,scheduler,0.00,17.81MiB,0.03,886kB,0B,1
2025-06-05T21:43:52,jodi-cache,8.89,17.56MiB,0.03,1.34GB,0B,6
2025-06-05T21:44:04,evaluator,0.47,665.5MiB,1.06,603MB,0B,5
2025-06-05T21:44:04,auditlog,0.60,249.4MiB,0.40,2.98GB,0B,5
2025-06-05T21:44:04,keyrotation,0.00,17.22MiB,0.03,25.4kB,0B,1
2025-06-05T21:44:04,message-store,0.44,711.8MiB,1.13,827MB,0B,5
2025-06-05T21:44:04,als_client_worker,206.75,42.29MiB,0.07,871MB,0B,34
2025-06-05T21:44:04,als_server_worker,214.41,41.12MiB,0.07,2.98MB,0B,34
2025-06-05T21:44:04,scheduler,0.35,17.81MiB,0.03,906kB,0B,1
2025-06-05T21:44:04,jodi-cache,2.87,14.92MiB,0.02,1.34GB,0B,6
2025-06-05T21:44:17,evaluator,0.57,665.5MiB,1.06,603MB,0B,5
2025-06-05T21:44:17,auditlog,0.57,249.4MiB,0.40,2.98GB,0B,5
2025-06-05T21:44:17,keyrotation,0.00,17.22MiB,0.03,25.7kB,0B,1
2025-06-05T21:44:17,message-store,0.54,711.8MiB,1.13,827MB,0B,5
2025-06-05T21:44:17,als_client_worker,246.40,19.4MiB,0.03,871MB,0B,2
2025-06-05T21:44:17,als_server_worker,229.82,19.39MiB,0.03,3.01MB,0B,2
2025-06-05T21:44:17,scheduler,0.38,17.81MiB,0.03,922kB,0B,1
2025-06-05T21:44:17,jodi-cache,3.63,6.543MiB,0.01,1.34GB,0B,6
